model_id,org,launch_date,evidence_url,evidence_title,evidence_published_date,evidence_type,judge_status,notes,updated_at_utc
anthropic/claude-3-haiku,anthropic,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,Claude 3 Haiku: our fastest model yet,2024-03-13,newsroom,accepted,Claude 3 family was introduced on 2024-03-04; this is the dedicated Haiku launch announcement.,2026-02-27T13:54:53Z
anthropic/claude-3.5-haiku,anthropic,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",2024-10-22,newsroom,accepted,"Source is a joint launch post covering computer use, Sonnet 3.5 (new), and Haiku 3.5.",2026-02-27T13:54:53Z
anthropic/claude-3.5-sonnet,anthropic,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,2024-06-21,newsroom,accepted,This is the initial Sonnet 3.5 launch; Anthropic later announced an upgraded Sonnet 3.5 on 2024-10-22.,2026-02-27T13:54:53Z
anthropic/claude-3.7-sonnet,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-3.7-sonnet:thinking,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,accepted,The ':thinking' variant is a reasoning mode/capability of Claude 3.7 Sonnet rather than a separate standalone announcement page. Model ID explicitly mapped to thinking mode in snippet.,2026-02-27T13:54:53Z
anthropic/claude-haiku-4.5,anthropic,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,2025-10-15,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,newsroom,accepted,Opus 4 and Sonnet 4 were announced together in one post.,2026-02-27T13:54:53Z
anthropic/claude-opus-4.1,anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,2025-08-05,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4.5,anthropic,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,2025-11-24,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4.6,anthropic,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,Introducing Claude Opus 4.6,2026-02-05,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-sonnet-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,newsroom,accepted,Sonnet 4 and Opus 4 were announced together in one post.,2026-02-27T13:54:53Z
anthropic/claude-sonnet-4.5,anthropic,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,2025-09-29,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-sonnet-4.6,anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,Introducing Claude Sonnet 4.6,2026-02-17,newsroom,accepted,,2026-02-27T13:54:53Z
baidu/ernie-4.5-300b-a47b,baidu,2025-06-30,https://ernie.baidu.com/blog/posts/ernie4.5/,Announcing the Open Source Release of the ERNIE 4.5 Model Family,2025-06-30,announcement_blog,accepted,Exact model variant and explicit date are present on Baidu's official ERNIE blog.,2026-02-27T13:54:53Z
bytedance-seed/seed-1.6,bytedance-seed,2025-06-25,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,Seed1.6 系列模型技术介绍,2025-06-25,announcement_blog,accepted,Official Seed team model-release post with explicit date for Seed1.6 series.,2026-02-27T13:54:53Z
deepseek/deepseek-v3.2,deepseek,2025-12-01,https://api-docs.deepseek.com/news/news251201,DeepSeek-V3.2 Release,2025-12-01,docs_release_note,accepted,Official DeepSeek API Docs release page includes explicit date and launch statement.,2026-02-27T13:54:53Z
google/gemini-2.0-flash-001,google,2025-02-05,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-02-05,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-2.5-flash,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-2.5-pro,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3-flash-preview,google,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-12-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3-pro-preview,google,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-11-18,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3.1-pro-preview,google,2026-02-19,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2026-02-19,docs_release_note,accepted,Launch line uses model name; exact ID is inferred from same-day changelog entry containing gemini-3.1-pro-preview.,2026-02-27T13:54:53Z
google/gemini-3.1-flash-lite-preview,google,2026-03-04,https://openrouter.ai/google/gemini-3.1-flash-lite-preview,OpenRouter model listing: google/gemini-3.1-flash-lite-preview,2026-03-04,provider_catalog,accepted,User-requested manual release date override for charting.,2026-03-04T00:07:01Z
google/gemma-3-27b-it,google,2025-03-12,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-03-12,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
minimax/minimax-m2.5,minimax,2026-02-12,https://www.minimaxi.com/news/minimax-m25,MiniMax M2.5: 更快更强更智能，为真实世界生产力而生,2026-02-12,newsroom,accepted,Official MiniMax news post with exact date and direct introduction of M2.5.,2026-02-27T13:54:53Z
